species,set,number,year,rarity,cause,alt_asset_id,detail
Lapras,HeartGold & SoulSilver Black Star Promos,HGSS14,2010-2011,Promo,no_psa10_ever,99a8169c-a1cc-4670-ab15-8aa6534e94ce,alt.xyz graded pop (all companies) 1
Meganium,HeartGold & SoulSilver Black Star Promos,HGSS08,2010-2011,Promo,no_psa10_ever,f0315a0d-e847-4383-b4d8-fccc3bfd6bdf,alt.xyz graded pop (all companies) 2
Plusle,HeartGold & SoulSilver Black Star Promos,HGSS16,2010-2011,Promo,no_psa10_ever,22c544f2-91d1-4911-9d74-69e135a97781,alt.xyz graded pop (all companies) 1
Smoochum,HeartGold & SoulSilver Black Star Promos,HGSS13,2010-2011,Promo,no_psa10_ever,37267183-5e22-45e5-b8d3-e3c2ac2c3ab2,alt.xyz graded pop (all companies) 1
Landorus,Legendary Treasures,85/113,2013,Rare Holo,no_psa10_ever,af8575ad-f3b2-4c75-bf82-83929a74f11a,alt.xyz graded pop (all companies) 28
Phione,Legendary Treasures,36/113,2013,Rare,no_psa10_ever,0a36dd6a-cba5-4c61-a42e-6b5e5d2e1828,alt.xyz graded pop (all companies) 4
Reuniclus,Legendary Treasures,76/113,2013,Rare,no_psa10_ever,a169698c-2998-48d7-a373-9a26961388a9,alt.xyz graded pop (all companies) 9
Seismitoad,Legendary Treasures,42/113,2013,Rare,no_psa10_ever,b22607be-2ed4-4e6b-8952-1fa3e64ee577,alt.xyz graded pop (all companies) 1
Xatu,Legendary Treasures,56/113,2013,Rare,no_psa10_ever,eccd50d7-99e4-4732-9a93-95f03cb338cc,alt.xyz graded pop (all companies) 6
Meloetta,Legendary Treasures - Radiant Collection,RC11/RC25,2013,Rare Ultra,no_psa10_ever,ed870974-9691-4f25-a2e2-aadadab83a3f,alt.xyz graded pop (all companies) 221
Armaldo,Legends Awakened,18/146,2008,Rare,no_psa10_ever,6392715f-22bc-4b42-ad46-123bced29363,"alt.xyz graded pop (all companies) 52,14"
Azelf,Legends Awakened,19/146,2008,Rare,no_psa10_ever,6ed7a200-1597-4a10-9a64-43c83a40cce6,"alt.xyz graded pop (all companies) 43,5"
Crawdaunt,Legends Awakened,22/146,2008,Rare,no_psa10_ever,6d8cd7cb-4142-48aa-af88-9bcaeb0c157f,"alt.xyz graded pop (all companies) 51,12"
Delcatty,Legends Awakened,23/146,2008,Rare,no_psa10_ever,3b7838d6-5517-4bee-9ed4-0facf4a04039,"alt.xyz graded pop (all companies) 52,16"
Heatran,Legends Awakened,30/146,2008,Rare,no_psa10_ever,e882d3c0-edeb-4f8c-b785-1546bde457db,"alt.xyz graded pop (all companies) 46,13"
Lopunny,Legends Awakened,33/146,2008,Rare,no_psa10_ever,b06062ff-2003-4946-ae93-766fc5aec786,"alt.xyz graded pop (all companies) 14,4"
Shedinja,Legends Awakened,40/146,2008,Rare,no_psa10_ever,e8d81a4c-e628-48f6-b1cf-57edf1af1895,"alt.xyz graded pop (all companies) 56,6"
Victreebel,Legends Awakened,44/146,2008,Rare,no_psa10_ever,40dae6fd-4f07-4df8-b64e-593e1cecac08,"alt.xyz graded pop (all companies) 60,14"
Bronzong,Majestic Dawn,16/100,2008,Rare,no_psa10_ever,55dcf7a9-1526-49aa-a072-8e9c4e8c31e7,"alt.xyz graded pop (all companies) 19,10"
Empoleon,Majestic Dawn,17/100,2008,Rare,no_psa10_ever,9cac9d7b-736d-4ff2-9e0e-daa84ea6a34b,"alt.xyz graded pop (all companies) 44,18"
Hippowdon,Majestic Dawn,21/100,2008,Rare,no_psa10_ever,03fa061a-52da-45c9-8136-b8a63bcea544,"alt.xyz graded pop (all companies) 75,41"
Minun,Majestic Dawn,25/100,2008,Rare,no_psa10_ever,d87d1033-0fd0-4b9c-b4e8-e2c2223207e6,"alt.xyz graded pop (all companies) 88,36"
Phione,Majestic Dawn,27/100,2008,Rare,no_psa10_ever,5a6651bd-c41f-404a-9845-4b2dfa6ef6bd,"alt.xyz graded pop (all companies) 69,33"
Plusle,Majestic Dawn,28/100,2008,Rare,no_psa10_ever,85751003-597c-4e64-a5f2-d2d33d5c8bf0,alt.xyz graded pop (all companies) 48
Torterra,Majestic Dawn,30/100,2008,Rare,no_psa10_ever,27a9a694-a94e-40b7-a0e0-524d11aa8e62,"alt.xyz graded pop (all companies) 62,17"
Abomasnow,Mysterious Treasures,19/123,2007,Rare,no_psa10_ever,a216c353-f8e4-4160-8512-520f8a4d5c6a,"alt.xyz graded pop (all companies) 15,8"
Ariados,Mysterious Treasures,20/123,2007,Rare,no_psa10_ever,9650855c-314a-4133-bb48-4015b03196b5,"alt.xyz graded pop (all companies) 38,6"
Bastiodon,Mysterious Treasures,21/123,2007,Rare,no_psa10_ever,88b5d8d0-0d5b-47cf-b3a8-0cd89aef24ac,"alt.xyz graded pop (all companies) 21,12"
Chimecho,Mysterious Treasures,22/123,2007,Rare,no_psa10_ever,e1718012-5bbf-49ce-b6f8-dc298195b181,alt.xyz graded pop (all companies) 36
Glalie,Mysterious Treasures,25/123,2007,Rare,no_psa10_ever,ed70e325-db7d-4f18-a01b-5cf574e5a3f7,"alt.xyz graded pop (all companies) 83,36"
