species,set,number,year,rarity,cause,alt_asset_id,detail
Machamp,Stormfront,20/100,2008,Rare,no_psa10_ever,1713c7bf-6d61-48c7-8f45-786baa0b430f,alt.xyz graded pop (all companies) 53
Mamoswine,Stormfront,21/100,2008,Rare,no_psa10_ever,18e92eb8-7073-4360-9f00-4fe98d624934,alt.xyz graded pop (all companies) 41
Rapidash,Stormfront,22/100,2008,Rare,no_psa10_ever,ec30c8e2-ee0e-42f9-b13c-dd43faca8f1b,alt.xyz graded pop (all companies) 17
Staraptor,Stormfront,27/100,2008,Rare,no_psa10_ever,8a030f67-0825-4d5d-a92b-7cc019ca721e,alt.xyz graded pop (all companies) 31
Vespiquen,Stormfront,31/100,2008,Rare,no_psa10_ever,408167c0-e4df-4a89-88e6-ae0cb1f14c96,alt.xyz graded pop (all companies) 33
Camerupt,Supreme Victors,18/147,2009,Rare,no_psa10_ever,de7bc56f-3dfa-41ce-a855-a17d3373eb55,"alt.xyz graded pop (all companies) 22,7"
Chimecho,Supreme Victors,21/147,2009,Rare,no_psa10_ever,e32f0bfa-fb4f-4e58-a22f-1d9243751694,alt.xyz graded pop (all companies) 18
Claydol,Supreme Victors,22/147,2009,Rare,no_psa10_ever,00b4bceb-db2d-4823-9ab0-352d147c0328,"alt.xyz graded pop (all companies) 9,7"
Crawdaunt,Supreme Victors,23/147,2009,Rare,no_psa10_ever,5bfdfe16-4074-4db5-ac1d-afce3cc95a78,"alt.xyz graded pop (all companies) 33,13"
Dewgong,Supreme Victors,24/147,2009,Rare,no_psa10_ever,0bf40851-3426-427a-bd2a-056b80a71fa6,"alt.xyz graded pop (all companies) 16,9"
Dodrio,Supreme Victors,25/147,2009,Rare,no_psa10_ever,9c37f9d1-313f-4dc4-a086-797c23b1b09d,alt.xyz graded pop (all companies) 22
Exploud,Supreme Victors,28/147,2009,Rare,no_psa10_ever,36fd0e24-ad20-4623-ba28-d4637dda8459,alt.xyz graded pop (all companies) 11
Lickilicky,Supreme Victors,30/147,2009,Rare,no_psa10_ever,2743dbe9-9a20-43cd-9b35-754a37c817d0,alt.xyz graded pop (all companies) 1
Lucario,Supreme Victors,31/147,2009,Rare,no_psa10_ever,8a687ff6-5c05-469d-9b1c-1b35fd1bb56c,"alt.xyz graded pop (all companies) 85,18"
Lunatone,Supreme Victors,32/147,2009,Rare,no_psa10_ever,f50db4bb-260d-4512-9a0d-70dd6c1fd0b0,alt.xyz graded pop (all companies) 21
Mawile,Supreme Victors,33/147,2009,Rare,no_psa10_ever,23bfc8d1-0630-44ec-b69e-7ecd61ed3766,alt.xyz graded pop (all companies) 11
Medicham,Supreme Victors,34/147,2009,Rare,no_psa10_ever,408d6b15-f079-4728-8d5c-fb6b00314cbf,alt.xyz graded pop (all companies) 28
Mr. Mime,Supreme Victors,37/147,2009,Rare,no_psa10_ever,5a934410-5ffa-46d6-8908-611f7cae4b48,"alt.xyz graded pop (all companies) 9,2"
Primeape,Supreme Victors,39/147,2009,Rare,no_psa10_ever,d501e54c-5b2d-4447-90c8-534e22714050,alt.xyz graded pop (all companies) 11
Sandslash,Supreme Victors,42/147,2009,Rare,no_psa10_ever,373c85fe-d394-4fb3-9227-09e8dce0aa51,"alt.xyz graded pop (all companies) 17,6"
Seaking,Supreme Victors,43/147,2009,Rare,no_psa10_ever,9c410f2c-cb51-45a4-aaf7-ec880822fded,"alt.xyz graded pop (all companies) 27,10"
Shedinja,Supreme Victors,44/147,2009,Rare,no_psa10_ever,29cd2c2c-5b34-4ea5-91ab-945b68c5cfb3,alt.xyz graded pop (all companies) 11
Solrock,Supreme Victors,45/147,2009,Rare,no_psa10_ever,f5df9654-fe08-46f2-ab8c-b6804be57303,alt.xyz graded pop (all companies) 6
Electivire,Triumphant,20/102,2010,Rare,no_psa10_ever,3d0acc96-f032-4dcd-8ff2-19c16116fb4d,"alt.xyz graded pop (all companies) 17,16"
Kricketune,Triumphant,24/102,2010,Rare,no_psa10_ever,9469751b-50d3-4160-a4a7-9ae47a4ed73a,alt.xyz graded pop (all companies) 10
Magmortar,Triumphant,27/102,2010,Rare,no_psa10_ever,c70d8464-788f-4dc9-a454-2fe348ddb023,alt.xyz graded pop (all companies) 28
Nidoqueen,Triumphant,28/102,2010,Rare,no_psa10_ever,a40ce32d-e1ab-4800-a5f3-d6723ea3d318,alt.xyz graded pop (all companies) 14
Pidgeot,Triumphant,29/102,2010,Rare,no_psa10_ever,cfb9728c-3874-4517-8789-aabd6dcef63d,alt.xyz graded pop (all companies) 10
Sharpedo,Triumphant,30/102,2010,Rare,no_psa10_ever,be82a485-a6fd-4d79-930f-3dfce990d1e7,"alt.xyz graded pop (all companies) 18,13"
Wailord,Triumphant,31/102,2010,Rare,no_psa10_ever,819c25c4-9bca-41cb-ae2b-2c6b25b35250,alt.xyz graded pop (all companies) 25
Yanmega,Triumphant,98/102,2010,Rare Prime,no_psa10_ever,4186724e-bd55-4750-a21e-7fdc2ac56384,alt.xyz graded pop (all companies) 200
Dodrio,Undaunted,11/90,2010,Rare,no_psa10_ever,3574187b-b23a-4a7b-8ba9-2a6ffb36893c,alt.xyz graded pop (all companies) 10
Forretress,Undaunted,13/90,2010,Rare,no_psa10_ever,7a7905b7-95c1-4842-be31-67393bbcba6f,alt.xyz graded pop (all companies) 11
Honchkrow,Undaunted,15/90,2010,Rare,no_psa10_ever,e90de2e0-5f1e-4071-b5f8-228156945e15,alt.xyz graded pop (all companies) 9
Magcargo,Undaunted,6/90,2010,Rare Holo,no_psa10_ever,67ec03b6-90da-419c-8555-6ef5a2b6d758,alt.xyz graded pop (all companies) 64
Mismagius,Undaunted,19/90,2010,Rare,no_psa10_ever,bb11681d-beb7-4609-ab12-3611d5c2b0fd,"alt.xyz graded pop (all companies) 12,11"
Rotom,Undaunted,20/90,2010,Rare,no_psa10_ever,8a84070b-0d13-4a94-ab93-e6f0e6e5206b,alt.xyz graded pop (all companies) 18
Beedrill,Unleashed,12/95,2010,Rare,no_psa10_ever,25cf0323-1293-4786-9c41-fffbd409f444,alt.xyz graded pop (all companies) 12
Fearow,Unleashed,15/95,2010,Rare,no_psa10_ever,c90a042f-3f7f-4ee2-847c-b76bce55ed37,alt.xyz graded pop (all companies) 13
Floatzel,Unleashed,16/95,2010,Rare,no_psa10_ever,125b87d8-949d-4182-b186-ed0ebdc3055f,"alt.xyz graded pop (all companies) 11,2"
Poliwrath,Unleashed,21/95,2010,Rare,no_psa10_ever,6b962aa7-620e-43fc-9125-6fdc2098bcc4,"alt.xyz graded pop (all companies) 13,8"
Primeape,Unleashed,22/95,2010,Rare,no_psa10_ever,1dcb8f31-fe81-4b94-b007-e9079d73fbca,alt.xyz graded pop (all companies) 24
Ursaring,Unleashed,27/95,2010,Rare,no_psa10_ever,4b605988-8bad-4293-8f5d-dbd4072bda31,alt.xyz graded pop (all companies) 8
Axew,BW Black Star Promos,BW16,2011-2013,Promo,not_on_alt_xyz,,
Black Kyurem,BW Black Star Promos,BW58,2011-2013,Promo,not_on_alt_xyz,,
Darumaka,BW Black Star Promos,BW18,2011-2013,Promo,not_on_alt_xyz,,
Drifblim,BW Black Star Promos,BW64,2011-2013,Promo,not_on_alt_xyz,,
Druddigon,BW Black Star Promos,BW80,2011-2013,Promo,not_on_alt_xyz,,
Ducklett,BW Black Star Promos,BW17,2011-2013,Promo,not_on_alt_xyz,,
Electrode,BW Black Star Promos,BW76,2011-2013,Promo,not_on_alt_xyz,,
Elgyem,BW Black Star Promos,BW55,2011-2013,Promo,not_on_alt_xyz,,
Emboar,BW Black Star Promos,BW21,2011-2013,Promo,not_on_alt_xyz,,
Flygon,BW Black Star Promos,BW53,2011-2013,Promo,not_on_alt_xyz,,
Genesect,BW Black Star Promos,BW99,2011-2013,Promo,not_on_alt_xyz,,
Lilligant,BW Black Star Promos,BW49,2011-2013,Promo,not_on_alt_xyz,,
Litwick,BW Black Star Promos,BW27,2011-2013,Promo,not_on_alt_xyz,,
Meloetta,BW Black Star Promos,BW68,2011-2013,Promo,not_on_alt_xyz,,
Meloetta,BW Black Star Promos,BW69,2011-2013,Promo,not_on_alt_xyz,,
Oshawott,BW Black Star Promos,BW03,2011-2013,Promo,not_on_alt_xyz,,
Oshawott,BW Black Star Promos,BW08,2011-2013,Promo,not_on_alt_xyz,,
Pansage,BW Black Star Promos,BW11,2011-2013,Promo,not_on_alt_xyz,,
Pansage,BW Black Star Promos,BW14,2011-2013,Promo,not_on_alt_xyz,,
Pidove,BW Black Star Promos,BW15,2011-2013,Promo,not_on_alt_xyz,,
Reshiram,BW Black Star Promos,BW04,2011-2013,Promo,not_on_alt_xyz,,
Riolu,BW Black Star Promos,BW33,2011-2013,Promo,not_on_alt_xyz,,
Samurott,BW Black Star Promos,BW22,2011-2013,Promo,not_on_alt_xyz,,
Serperior,BW Black Star Promos,BW20,2011-2013,Promo,not_on_alt_xyz,,
Snivy,BW Black Star Promos,BW06,2011-2013,Promo,not_on_alt_xyz,,
Tepig,BW Black Star Promos,BW02,2011-2013,Promo,not_on_alt_xyz,,
Terrakion,BW Black Star Promos,BW71,2011-2013,Promo,not_on_alt_xyz,,
Thundurus,BW Black Star Promos,BW41,2011-2013,Promo,not_on_alt_xyz,,
Tornadus,BW Black Star Promos,BW42,2011-2013,Promo,not_on_alt_xyz,,
Victini,BW Black Star Promos,BW32,2011-2013,Promo,not_on_alt_xyz,,
White Kyurem,BW Black Star Promos,BW59,2011-2013,Promo,not_on_alt_xyz,,
Zekrom,BW Black Star Promos,BW05,2011-2013,Promo,not_on_alt_xyz,,
Zorua,BW Black Star Promos,BW12,2011-2013,Promo,not_on_alt_xyz,,
Hitmonchan,Best of Promos,9,2002-2003,Promo,not_on_alt_xyz,,
Scolipede,Black & White,54/114,2011,Rare,not_on_alt_xyz,,
Audino,Boundaries Crossed,126/149,2012,Rare,not_on_alt_xyz,,
Swoobat,Boundaries Crossed,71/149,2012,Rare,not_on_alt_xyz,,
Toxicroak,Boundaries Crossed,66/149,2012,Rare,not_on_alt_xyz,,
Unfezant,Boundaries Crossed,125/149,2012,Rare,not_on_alt_xyz,,
Whimsicott,Boundaries Crossed,15/149,2012,Rare,not_on_alt_xyz,,
Tyrogue,Call of Legends,36/95,2011,Rare,not_on_alt_xyz,,
Bisharp,Dark Explorers,79/108,2012,Rare,not_on_alt_xyz,,
Escavalier,Dark Explorers,74/108,2012,Rare,not_on_alt_xyz,,
Galvantula,Dark Explorers,43/108,2012,Rare,not_on_alt_xyz,,
Heatmor,Dark Explorers,19/108,2012,Rare,not_on_alt_xyz,,
Slowking,Dark Explorers,49/108,2012,Rare,not_on_alt_xyz,,
Swanna,Dark Explorers,36/108,2012,Rare,not_on_alt_xyz,,
Tornadus,Dark Explorers,90/108,2012,Rare Holo ex,not_on_alt_xyz,,
Purugly,Diamond & Pearl,36/130,2007,Rare,not_on_alt_xyz,,
Vespiquen,Diamond & Pearl,39/130,2007,Rare,not_on_alt_xyz,,
Wobbuffet,Diamond & Pearl,41/130,2007,Rare,not_on_alt_xyz,,
Buneary,Diamond & Pearl Black Star Promos,DP06,2007-2009,Promo,not_on_alt_xyz,,
Chatot,Diamond & Pearl Black Star Promos,DP14,2007-2009,Promo,not_on_alt_xyz,,
Porygon-Z,Diamond & Pearl Black Star Promos,DP35,2007-2009,Promo,not_on_alt_xyz,,
Regigigas,Diamond & Pearl Black Star Promos,DP40,2007-2009,Promo,not_on_alt_xyz,,
Toxicroak,Diamond & Pearl Black Star Promos,DP41,2007-2009,Promo,not_on_alt_xyz,,
Unown,EX Unseen Forces,A/28,2005,Rare Holo,not_on_alt_xyz,,
Unown,EX Unseen Forces,M/28,2005,Rare Holo,not_on_alt_xyz,,
Unown,EX Unseen Forces,U/28,2005,Rare Holo,not_on_alt_xyz,,
Unown,EX Unseen Forces,Y/28,2005,Rare Holo,not_on_alt_xyz,,
Unown,EX Unseen Forces,!/28,2005,Rare Holo,not_on_alt_xyz,,
Beartic,Emerging Powers,31/98,2011,Rare,not_on_alt_xyz,,
Braviary,Emerging Powers,88/98,2011,Rare Holo,not_on_alt_xyz,,
Darmanitan,Emerging Powers,21/98,2011,Rare,not_on_alt_xyz,,
Ferrothorn,Emerging Powers,72/98,2011,Rare,not_on_alt_xyz,,
Gothitelle,Emerging Powers,48/98,2011,Rare,not_on_alt_xyz,,
Leavanny,Emerging Powers,8/98,2011,Rare,not_on_alt_xyz,,
Liepard,Emerging Powers,65/98,2011,Rare,not_on_alt_xyz,,
Mandibuzz,Emerging Powers,69/98,2011,Rare,not_on_alt_xyz,,
Scolipede,Emerging Powers,40/98,2011,Rare,not_on_alt_xyz,,
Simipour,Emerging Powers,23/98,2011,Rare,not_on_alt_xyz,,
Simisear,Emerging Powers,19/98,2011,Rare,not_on_alt_xyz,,
Swanna,Emerging Powers,27/98,2011,Rare,not_on_alt_xyz,,
Whimsicott,Emerging Powers,12/98,2011,Rare,not_on_alt_xyz,,
Beedrill,Great Encounters,13/106,2008,Rare,not_on_alt_xyz,,
Exeggutor,HeartGold & SoulSilver,18/123,2010,Rare,not_on_alt_xyz,,
Farfetch'd,HeartGold & SoulSilver,19/123,2010,Rare,not_on_alt_xyz,,
Furret,HeartGold & SoulSilver,21/123,2010,Rare,not_on_alt_xyz,,
Granbull,HeartGold & SoulSilver,22/123,2010,Rare,not_on_alt_xyz,,
Ho-Oh,HeartGold & SoulSilver,111/123,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Lapras,HeartGold & SoulSilver,24/123,2010,Rare,not_on_alt_xyz,,
Ledian,HeartGold & SoulSilver,25/123,2010,Rare,not_on_alt_xyz,,
Quagsire,HeartGold & SoulSilver,9/123,2010,Rare Holo,not_on_alt_xyz,,
Sunflora,HeartGold & SoulSilver,31/123,2010,Rare,not_on_alt_xyz,,
Feraligatr,HeartGold & SoulSilver Black Star Promos,HGSS07,2010-2011,Promo,not_on_alt_xyz,,
Hitmonchan,HeartGold & SoulSilver Black Star Promos,HGSS24,2010-2011,Promo,not_on_alt_xyz,,
Hitmonlee,HeartGold & SoulSilver Black Star Promos,HGSS25,2010-2011,Promo,not_on_alt_xyz,,
Hoothoot,HeartGold & SoulSilver Black Star Promos,HGSS05,2010-2011,Promo,not_on_alt_xyz,,
Minun,HeartGold & SoulSilver Black Star Promos,HGSS17,2010-2011,Promo,not_on_alt_xyz,,
Shuckle,HeartGold & SoulSilver Black Star Promos,HGSS15,2010-2011,Promo,not_on_alt_xyz,,
Typhlosion,HeartGold & SoulSilver Black Star Promos,HGSS09,2010-2011,Promo,not_on_alt_xyz,,
Wobbuffet,HeartGold & SoulSilver Black Star Promos,HGSS04,2010-2011,Promo,not_on_alt_xyz,,
Leavanny,Legendary Treasures,12/113,2013,Rare Holo,not_on_alt_xyz,,
Toxicroak,Legendary Treasures,63/113,2013,Rare,not_on_alt_xyz,,
Omastar,Majestic Dawn,26/100,2008,Rare,not_on_alt_xyz,,
Manectric,Mysterious Treasures,28/123,2007,Rare,not_on_alt_xyz,,
Mantine,Mysterious Treasures,29/123,2007,Rare,not_on_alt_xyz,,
Unown,Mysterious Treasures,37/123,2007,Rare,not_on_alt_xyz,,
Amoonguss,Next Destinies,9/99,2012,Rare,not_on_alt_xyz,,
Beartic,Next Destinies,37/99,2012,Rare,not_on_alt_xyz,,
Beheeyem,Next Destinies,62/99,2012,Rare,not_on_alt_xyz,,
Bronzong,Next Destinies,76/99,2012,Rare,not_on_alt_xyz,,
Jellicent,Next Destinies,35/99,2012,Rare,not_on_alt_xyz,,
Kyurem,Next Destinies,38/99,2012,Rare Holo ex,not_on_alt_xyz,,
Muk,Next Destinies,53/99,2012,Rare,not_on_alt_xyz,,
Musharna,Next Destinies,59/99,2012,Rare,not_on_alt_xyz,,
Shiftry,Next Destinies,72/99,2012,Rare,not_on_alt_xyz,,
Simipour,Next Destinies,29/99,2012,Rare,not_on_alt_xyz,,
Simisear,Next Destinies,16/99,2012,Rare,not_on_alt_xyz,,
Wigglytuff,Next Destinies,79/99,2012,Rare,not_on_alt_xyz,,
Zebstrika,Next Destinies,48/99,2012,Rare,not_on_alt_xyz,,
Accelgor,Noble Victories,12/101,2011,Rare,not_on_alt_xyz,,
Beheeyem,Noble Victories,56/101,2011,Rare,not_on_alt_xyz,,
Carracosta,Noble Victories,26/101,2011,Rare,not_on_alt_xyz,,
Chandelure,Noble Victories,60/101,2011,Rare,not_on_alt_xyz,,
Cofagrigus,Noble Victories,47/101,2011,Rare,not_on_alt_xyz,,
Conkeldurr,Noble Victories,65/101,2011,Rare,not_on_alt_xyz,,
Cryogonal,Noble Victories,33/101,2011,Rare,not_on_alt_xyz,,
Druddigon,Noble Victories,89/101,2011,Rare,not_on_alt_xyz,,
Escavalier,Noble Victories,80/101,2011,Rare,not_on_alt_xyz,,
Golurk,Noble Victories,72/101,2011,Rare,not_on_alt_xyz,,
Reuniclus,Noble Victories,52/101,2011,Rare,not_on_alt_xyz,,
Reuniclus,Noble Victories,53/101,2011,Rare,not_on_alt_xyz,,
Seismitoad,Noble Victories,24/101,2011,Rare,not_on_alt_xyz,,
Zebstrika,Noble Victories,36/101,2011,Rare,not_on_alt_xyz,,
Ho-Oh,POP Series 3,17/17,2006,Rare Holo ex,not_on_alt_xyz,,
Minun,POP Series 3,4/17,2006,Rare,not_on_alt_xyz,,
Plusle,POP Series 3,5/17,2006,Rare,not_on_alt_xyz,,
Mew,POP Series 4,4/17,2006,Rare,not_on_alt_xyz,,
Pachirisu,POP Series 6,4/17,2007,Rare,not_on_alt_xyz,,
Rampardos,POP Series 6,5/17,2007,Rare,not_on_alt_xyz,,
Mothim,POP Series 7,5/17,2008,Rare,not_on_alt_xyz,,
Archeops,Plasma Blast,54/101,2013,Rare Holo,not_on_alt_xyz,,
Cradily,Plasma Blast,4/101,2013,Rare,not_on_alt_xyz,,
Drifblim,Plasma Blast,35/101,2013,Rare,not_on_alt_xyz,,
Froslass,Plasma Blast,23/101,2013,Rare,not_on_alt_xyz,,
Uxie,Plasma Blast,36/101,2013,Rare,not_on_alt_xyz,,
Cacturne,Plasma Freeze,10/116,2013,Rare,not_on_alt_xyz,,
Hariyama,Plasma Freeze,63/116,2013,Rare,not_on_alt_xyz,,
Watchog,Plasma Storm,113/135,2013,Rare,not_on_alt_xyz,,
Glalie,Platinum: Arceus,18/99,2009,Rare,not_on_alt_xyz,,
Lopunny,Platinum: Arceus,21/99,2009,Rare,not_on_alt_xyz,,
Vespiquen,Rising Rivals,35/111,2009,Rare,not_on_alt_xyz,,
Walrein,Rising Rivals,36/111,2009,Rare,not_on_alt_xyz,,
Yanmega,Rising Rivals,37/111,2009,Rare,not_on_alt_xyz,,
Electrode,Secret Wonders,26/132,2007,Rare,not_on_alt_xyz,,
Drifblim,Stormfront,16/100,2008,Rare,not_on_alt_xyz,,
Roserade,Stormfront,23/100,2008,Rare,not_on_alt_xyz,,
Skuntank,Stormfront,26/100,2008,Rare,not_on_alt_xyz,,
Tangrowth,Stormfront,29/100,2008,Rare,not_on_alt_xyz,,
Dusknoir,Supreme Victors,26/147,2009,Rare,not_on_alt_xyz,,
Honchkrow,Supreme Victors,29/147,2009,Rare,not_on_alt_xyz,,
Roserade,Supreme Victors,40/147,2009,Rare,not_on_alt_xyz,,
Carnivine,Triumphant,16/102,2010,Rare,not_on_alt_xyz,,
Darkrai & Cresselia,Triumphant,99/102,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Darkrai & Cresselia,Triumphant,100/102,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Grumpig,Triumphant,23/102,2010,Rare,not_on_alt_xyz,,
Palkia & Dialga,Triumphant,101/102,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Palkia & Dialga,Triumphant,102/102,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Kyogre & Groudon,Undaunted,87/90,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Kyogre & Groudon,Undaunted,88/90,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Rayquaza & Deoxys,Undaunted,89/90,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Rayquaza & Deoxys,Undaunted,90/90,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Tropius,Undaunted,22/90,2010,Rare,not_on_alt_xyz,,
Vespiquen,Undaunted,23/90,2010,Rare,not_on_alt_xyz,,
Weavile,Undaunted,25/90,2010,Rare,not_on_alt_xyz,,
Lanturn,Unleashed,18/95,2010,Rare,not_on_alt_xyz,,
Roserade,Unleashed,23/95,2010,Rare,not_on_alt_xyz,,
Suicune & Entei,Unleashed,94/95,2010,Rare Holo LEGEND,not_on_alt_xyz,,
Suicune & Entei,Unleashed,95/95,2010,Rare Holo LEGEND,not_on_alt_xyz,,
