asset_id,date,price,grading_company,grade,source,sale_type,url,label,subject_to_change,skipped_reason
0000df84-a88f-4eea-86ef-b0c30694019e,2024-08-01,40.00,PSA,9.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Pokemon-TCG-Emolga-Legendary-Treasures-Rc23-Rc25-Full-Art-PSA-9-/204669139635,,False,
00be416a-ecfa-483c-bd2a-15a5419777d4,2024-08-01,39.74,PSA,10.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/Latios-Latias-GX-PSA-10-Ultra-Rare-060-095-Japanese-Pokemon-Card-/225796128403,,False,
010da7c2-9da0-4068-93bd-f9fd4b5cf065,2024-08-01,18.11,PSA,9.0,eBay,AUCTION,https://www.ebay.com/itm/MEW-POKEMON-2000-POKEMON-LEAGUE-BLACK-STAR-PROMO-CARD-8-PSA-MINT-9-/365027710687,,False,
01300c7a-a2c1-4087-a8cc-2defdac3460d,2024-08-01,30.00,PSA,10.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/Pokemon-PSA-10-GEM-MT-Silvally-GX-SV79-SV94-Hidden-Fates-Shiny-Vault-FA-S-2912-/265511017447,,False,
0177599e-e74d-4bc2-b8e2-2ab322f2806b,2024-08-01,17.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Pokemon-PSA-10-Crobat-V-104-189-Darkness-Ablaze-Ultra-Rare-2020-Gem-Mint-/395554595088,,False,
02293c8e-daaf-4a57-8b5a-9a37b6d03882,2024-08-01,1630.00,PSA,10.0,eBay,AUCTION,https://www.ebay.com/itm/2002-Pokemon-Japanese-Split-Earth-1st-Edition-072-Umbreon-Holo-PSA-10-GEM-MINT-/296595163279,,False,RELISTED
0236db64-b22b-497d-b99a-7a87508398ec,2024-08-01,41.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/PSA-10-GEM-Furisode-Girl-Silver-Tempest-Full-Art-Pokemon-Card-190-195-/395455204367,,False,
024b1f81-5272-4905-b6e0-dd791e4bf570,2024-08-01,21.00,PSA,9.0,eBay,BEST_OFFER,https://www.ebay.com/itm/2016-Pokemon-XY-Evolutions-34-108-Gyarados-Holo-PSA-9-MINT-Trading-Card-TCG-/285981473915,,False,
02670d10-41b2-4da2-ae4b-0d8118d912b1,2024-08-01,69.99,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Reverse-Holo-Mimikyu-97-236-Rare-SM-Cosmic-Eclipse-PSA-10-/256589830669,,False,
02874192-e4b3-4d45-bed1-78a7a2157639,2024-08-01,120.00,PSA,10.0,eBay,AUCTION,https://www.ebay.com/itm/2023-POKEMON-MEW-EN-151-ILLUSTRATION-RARE-166-BULBASAUR-PSA-10-/305690436195,,False,
02874192-e4b3-4d45-bed1-78a7a2157639,2024-08-01,102.50,PSA,10.0,eBay,AUCTION,https://www.ebay.com/itm/PSA-10-Bulbasaur-166-165-Illustration-Rare-151-Pokemon-TCG-MEW-Gem-Mint-/166889625572,,False,
02874192-e4b3-4d45-bed1-78a7a2157639,2024-08-01,15.00,PSA,9.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Pokemon-TCG-151-Bulbasaur-166-165-Illustration-Rare-English-PSA-9-MINT-/405138725366,,False,
02942b05-5bb4-40c5-af94-89d6f7055c0d,2024-08-01,26.40,PSA,10.0,Alt,AUCTION,https://alt.xyz/exchange/select-listing?ids=3cf4dcbc-7904-4873-9504-38b321693c2d,,False,
02c08f51-d76c-4aca-81f5-67c462bba310,2024-08-01,300.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/2000-Ancient-Mew-Movie-Promo-Psa-10-Graded-2024-NEW-CERT-SWIRL-/266928389553,,False,
02c08f51-d76c-4aca-81f5-67c462bba310,2024-08-01,50.00,PSA,9.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/2000-Pokemon-Game-Promo-Ancient-Mew-Movie-Promo-Holofoil-PSA-9-/395566875846,,False,
02c08f51-d76c-4aca-81f5-67c462bba310,2024-08-01,60.00,PSA,9.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Pokemon-TCG-Ancient-Mew-Promo-PSA-9-/285986954629,,False,
02cb167f-9abe-40dd-a643-1bee418d5245,2024-08-01,45.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Suicune-V-173-203-PSA-10-Full-Art-Evolving-Skies-Pokemon-30210-/256086375333,,False,
0311324a-87ee-41e9-9a5f-efa02a711d48,2024-08-01,35.00,PSA,10.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/PSA-10-Infernape-070-066-AR-SV5a-Crimson-Haze-Japanese-Pokemon-Card-GEM-MINT-/395532836952,,False,
034a208b-b89e-440f-8c79-4ee62b8c9a92,2024-08-01,53.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/2017-Pokemon-Sun-Moon-FA-Metagross-GX-157a-PSA-10-GEM-MT-/355893490332,,False,
034a208b-b89e-440f-8c79-4ee62b8c9a92,2024-08-01,59.00,PSA,10.0,eBay,AUCTION,https://www.ebay.com/itm/PSA-10-GEM-MINT-Metagross-GX-157a-145-Hidden-Fates-Shiny-Holo-Promo-Pokemon-Card-/266924349913,,False,
034a208b-b89e-440f-8c79-4ee62b8c9a92,2024-08-01,50.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/Pokemon-PSA-10-GEM-MINT-Sun-Moon-Hidden-Fates-Metagross-GX-SV157a-/256575489825,,False,
03d4bf6f-59c5-45a1-8f9a-ae3903080920,2024-08-01,29.95,PSA,10.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/PSA-10-GEM-MINT-Leafeon-V-013-159-Crown-Zenith-RARE-Pokemon-Card-/226205134621,,False,
03d94f0f-111d-4bbc-907b-64b7a9618117,2024-08-01,179.99,PSA,10.0,eBay,BUY_IT_NOW,https://www.ebay.com/itm/2007-Pokemon-EX-Power-Keepers-Magneton-Reverse-Foil-16-108-PSA-10-Gem-Mint-/284190992429,,False,
03dd3d44-ceec-43d2-a907-4acc17970f06,2024-08-01,100.00,PSA,10.0,eBay,BEST_OFFER,https://www.ebay.com/itm/2000-Pokemon-Gym-Heroes-Minion-Team-Rocket-113-132-PSA-10-GEM-MINT-POP-2-/385689821046,,False,
